1|0.010458708,-0.009510479,0.01988828,0.009369843,2.2690445e-05,-0.012060433,-0.008227244,0.018692175,-0.0066322815,0.0053897374,0.027020419,0.008182325,-0.013741226,-0.007942048,0.021512402,0.0065857833,-0.00461781,-0.00058710075,-0.018127203,0.008452374,0.016291251,0.014337613,0.002539788,-0.03861629,-0.017179584,0.0015657452,-0.020529568,0.007847232,-0.0011105888,-0.013280772,-0.011659777,0.02054725,0.0038201679,0.010812213,-0.0016259236,0.003143963,0.046231773,0.007869979,0.013685049,-0.00415257,-0.010163472,0.027627677,-0.0038744533,-0.00017674998,0.013201703,0.0077622193,-0.022809252,-0.007763507,-0.0025158164,0.027204655,0.0096368035,0.022567574,0.012787395,0.013456525,0.013160882,0.012935594,0.039747257,-0.004334356,-0.005750178,-0.000390006,0.00096055144,-0.017589811,0.0050220257,-0.008506303,0.0100718085,-0.0082214875,0.021348763,0.018564543,-0.00074624154,-0.011977342,-0.0111536635,-0.004468187,-0.024205428,-0.0048429235,0.0030549609,-0.012381916,-0.005444989,-0.009496643,-0.012790255,0.021483922,-0.0050078225,-0.017532893,0.01664672,0.028985215,0.018217912,0.020054065,0.04274647,-0.009107307,0.013661823,0.013369066,-0.008326192,-0.023138816,0.0129396785,-0.010334119,0.005458058,-0.0013429248,-0.011774216,-0.01677568,-0.0077683846,-0.019625876,-0.030024985,0.011086073,0.0018186135,0.01240642,0.016753858,-0.021012135,-0.00028274924,-0.013949504,0.0055895112,-0.029096736,0.006975039,-0.006612774,0.0017374486,0.009971167,-0.006375298,-0.007374234,0.0055019,0.01448985,0.008401417,0.0038546708,-0.0025267552,-0.014674904,0.016373519,-0.013250058,-0.020512668,0.0049531665,0.002689256,-0.00030593938
2|0.0072822054,-0.011105764,-0.002123358,0.0020847586,0.0023061475,-0.0023858221,-0.004451474,0.007985271,0.005744157,-0.0031571852,0.015019112,0.006667555,-0.008805221,-0.0027471974,0.008420165,0.008031479,-0.0039825654,-0.005638079,1.9620347e-06,-0.006818364,-0.0015191549,0.0047449493,0.0034478328,-0.012296541,-0.0005113438,-0.00079824025,-0.0015867999,0.007510153,-0.0005239887,0.0038341896,-0.00168628,-0.0034592955,0.008645192,-0.00032333727,0.0014287157,-0.0028991452,0.004665285,-0.005160015,0.008624338,-0.002458808,-0.0019247788,-0.001065177,-0.005485056,-0.005556998,0.008996889,-0.006019517,-0.0010999646,-0.001489841,-0.0004940009,0.0129421735,0.00013003204,-0.000958681,0.0027713194,0.007519665,0.009925683,-0.001140788,0.012495586,0.0008906728,-0.006265165,0.006681482,-0.0040988685,-0.0020848468,0.0037871082,0.0014188526,-0.00092275144,-0.0015201216,0.009323637,0.011867051,-0.0065212105,0.0026007087,0.0024837528,-0.0003027585,0.0008471578,-0.0035526492,-0.0011363846,-0.00920906,-0.0033821443,-3.506122e-05,-0.006115418,0.0020347396,0.0033378573,-0.007664278,-0.0024599812,0.012752162,0.011148864,0.008509536,0.010894435,-0.0034159392,0.002444811,0.010051067,-0.005200009,-0.0055715255,0.0052927732,-0.005511782,0.0041938685,0.0008549698,0.0037038084,-0.003986808,0.0036990098,-0.007866742,-0.0015034184,-0.0012393994,-0.0047208103,0.0031950064,-0.00031139932,-0.009116483,0.0008272121,0.005010904,-0.0024282916,-0.012820723,-9.887117e-05,0.0032336677,-0.0066081886,0.011726115,-0.0034512717,0.00093721173,-0.0018709179,-0.00028876722,0.0036002249,0.0048361504,-0.00651683,-0.0039178743,0.004414513,0.0018672451,0.0011979435,-0.0010057186,0.004607393,-0.0037845846
3|0.007853102,-0.009863263,0.0047840565,0.01938717,0.009044062,-0.0021092463,0.004732682,0.019154776,-0.0024759618,0.008778212,0.028704103,-0.0048635677,-0.0043164827,-0.010376435,0.026750347,0.005027012,-0.0024888164,-0.009734928,-0.023346484,-0.0055286535,0.0046419236,0.021332249,-0.00966104,-0.03528486,-0.021381153,-0.0055253906,-0.008942366,0.012281475,7.663839e-06,-0.002490637,-0.010108323,0.017775305,-0.0036464669,0.012241773,-0.015044809,0.004649931,0.040253293,0.0059072184,0.021735309,-0.013513632,-0.00583439,0.018158186,0.0021917922,-0.0007812271,0.005395503,-0.002301796,-0.022680026,-0.008106555,0.0049891113,0.021449808,0.018334106,0.008512092,0.01066013,0.004546191,0.017912997,-0.001764849,0.045694564,-0.01389232,-0.0127131045,0.0005550799,-0.0002830953,-0.017066233,-0.002920032,-0.014816517,0.01300062,-0.013574769,0.011890379,0.020871608,-0.0041831075,-0.010298088,-0.0027225702,0.011037065,-0.031842206,0.0049522114,0.005330856,-0.019713078,0.00719328,-0.008906811,-0.007423886,0.029486546,-0.0058185863,-0.018578466,0.006366195,0.023582377,0.014760528,0.021123203,0.048715003,-0.005138827,0.019975597,0.013043825,0.007892959,-0.024682185,0.010177916,-0.012644217,0.011938159,-0.005030116,-0.019396622,-0.027081465,-0.022051483,-0.011183916,-0.015907058,0.006056843,-0.0038443105,0.01322733,0.018209724,-0.026640061,-0.0050381385,-0.0124578625,0.013529971,-0.013934135,0.016495984,-0.004612645,0.011105533,0.022532009,-0.007267216,0.004431205,-0.006363231,0.0244237,0.009203681,-0.0011755193,0.0024307228,-0.007430913,0.0220941,-0.0035409115,-0.008219069,0.007969936,0.005005522,0.0057411254
4|-0.0043704147,-0.0001655578,0.0038869835,0.01168255,-0.0029170814,-0.0019083454,0.0052989605,3.3586577e-05,-0.00495182,0.0049644927,0.009979032,-0.0009521996,0.002013327,-0.007377687,0.008128304,0.0028305422,0.0056065405,0.00429227,0.001098411,0.006214291,-0.0040910463,0.013961198,-0.006831195,-0.011216453,-0.00898014,-0.0037878768,-0.010395836,-0.0036284113,-0.005584868,-0.0034263206,-0.005335611,0.007946745,-0.006163585,0.0003886045,0.005122315,0.005288523,0.017743556,0.0030201746,0.005319944,-0.006538399,0.0005728529,0.008299988,0.0046813907,0.004846811,0.008852044,0.0074812938,-0.013340345,-0.006063723,-0.00016942513,0.011689146,0.008945987,0.0090682395,0.008856733,-0.002421393,0.008207434,-0.0011727231,0.0038466475,0.0039684228,-0.0010574928,-0.0003972741,-0.0011010208,-0.007186271,0.003752911,0.0012478863,0.0011070434,-0.009777571,0.000671672,0.005006429,0.00565989,-0.00466405,-0.0017537776,0.0015589187,-0.013409574,0.0008459758,-0.0011112009,-0.00281529,0.0030087968,-0.00051132555,-0.0058732545,0.01323059,0.002102078,0.001483086,0.0067709726,0.014910744,0.009957425,0.0049806978,0.019372543,-0.0007048963,0.0079335775,0.004205764,-0.0014927156,-0.009780954,-0.004849982,-0.0016974332,0.011431885,0.004471781,-0.005655547,-0.002148435,-0.001557965,-0.0065897526,-0.0042309747,-0.002509377,0.004626504,0.006539631,0.0054602935,-0.0016505686,0.0047602234,0.0044047176,0.0025711327,-0.011916143,0.009573316,0.0023460458,0.002883901,0.0034178705,-0.0078666685,-0.0043843174,0.0060116146,0.002426489,-0.0037454895,0.007421075,0.0048284032,0.0037367144,0.004315251,-0.008072227,0.001370786,-0.0012713156,0.0031623156,0.004588912
5|0.006593565,-0.0014645751,0.0094788745,-0.0047604777,0.0024414172,-0.002402969,0.001324025,0.00202044,-0.0059418315,0.009311665,0.0033046505,0.0023442323,-0.0072980416,0.0018604911,0.011743691,0.000731365,0.004616557,-0.0006918502,0.003313445,0.0076666093,0.0019877038,0.0032055788,-0.007978961,0.001527082,-0.005425396,0.0017289608,-0.004274923,0.008051378,0.005141838,-0.00048833893,0.0011914705,0.0072207362,0.002489183,0.007999134,-0.0015054527,-0.0018018647,0.0122781815,-0.0026762558,0.0015810685,0.0053950436,-0.009925265,0.001892352,-0.0031977764,0.0042525684,0.007916588,-0.0046293787,0.00068556494,-0.0008663933,-0.007842751,0.0026553336,0.0011006214,-0.00033166757,0.0012784814,-0.0030925048,0.006788569,0.008602236,0.006413008,0.00046396462,-0.0020648092,0.0004727482,-0.0047681243,-0.0018433848,0.0030148197,0.0038702323,0.0074262503,-0.00023899152,0.006030679,-0.0021784957,-0.0004500308,-0.006394703,0.00423493,0.006717878,-0.0085331155,0.0005532893,0.0038882655,-0.0018057171,-7.43787e-06,-0.005030012,0.0049444432,-0.0009020319,-0.0060282266,-0.0070516686,-0.0028151148,0.003048597,-0.0047658947,0.005148399,0.00554412,-0.0049924375,0.007248941,0.0063936803,0.0012347889,-0.005496613,0.009043929,-0.0024761339,0.0068019954,0.0054040905,-0.010479316,-0.011782069,0.0047530816,-0.00019244847,-0.00561535,0.0049107545,-0.0043111383,-0.0031613056,-0.004326193,0.0020216457,-0.0032102123,-0.006828919,-0.0023544533,0.00033671,6.370759e-05,-0.0069996105,-0.00036608407,0.0019155934,-0.004837816,-0.002058212,0.0027761743,0.0045258612,-0.001774497,0.0018908079,0.0032798995,-0.00974814,-0.0034984597,0.003864185,-0.010663248,0.0014878252,-0.007879214,0.0071893525
6|0.0023584133,-0.016819082,0.013595865,0.013829013,-0.00063334935,-0.00883296,6.3080806e-05,0.009043805,-0.010210898,0.0117221605,0.032235146,0.0058861333,-0.012018859,-0.009320203,0.02173003,0.00480205,0.0004748127,0.0033428175,-0.009499643,0.00041653938,0.006185729,0.02220276,-0.005514968,-0.02827563,-0.016078293,-0.00083038455,-0.015386459,0.004292026,-0.0056214565,-0.012505923,-0.009192946,0.012969084,0.00048471568,0.011462183,-0.0053669764,0.0056004087,0.043254886,3.879983e-05,0.019725842,-0.013346667,-0.0075630015,0.027713215,-0.006219367,0.0014412387,0.016532466,0.0026297052,-0.026024174,-0.008636687,0.00044581795,0.026175998,0.018029746,0.01520682,0.013512056,0.004466416,0.013227066,0.0060308217,0.03222847,-0.010843653,-0.0062179384,0.007027258,0.0060541993,-0.013201187,0.001991677,-0.0026160725,0.0066927676,-0.016091287,0.010862425,0.019656302,0.008756492,-0.011975559,-0.0035698547,-0.0005332129,-0.027870303,-0.004486202,-0.0022140846,-0.011315442,-0.0010452676,0.00059824163,-0.011027949,0.031722743,-0.007886719,-0.011916049,0.016332433,0.03246852,0.016004052,0.016887885,0.047236763,-0.01597896,0.017615123,0.015532202,-0.0022418175,-0.024330245,0.0039247815,-0.01320551,0.019742763,-0.0041202707,-0.016273366,-0.021109726,-0.011174251,-0.013199735,-0.020406086,0.0077973525,-0.004304853,0.010807813,0.016047666,-0.013781076,-0.0034182114,-0.0057346877,0.011273827,-0.026020924,0.017024374,-0.0076268734,0.0059693926,0.01689258,-0.015288612,-0.0069737234,0.0012670283,0.014805725,0.0052078874,0.0068930476,-0.0016989845,-0.007459907,0.009874644,-0.008332241,-0.017127506,0.0008419929,-0.004345068,0.00081726
7|0.009772975,-0.021491542,0.021596514,0.012672659,0.0008365365,-0.013909005,-0.006700021,0.018373098,-0.011051129,0.011934782,0.040755842,0.010453396,-0.019896137,-0.009602385,0.02842208,0.006679671,-0.0046373624,0.0009031321,-0.01911245,0.0015355807,0.016376879,0.022390967,-0.0008294764,-0.041975547,-0.020178016,0.0018464264,-0.020453326,0.010029848,-0.003384317,-0.017433148,-0.01235503,0.019269336,0.005476592,0.016673988,-0.008741096,0.0045281285,0.05749899,0.002463702,0.023908393,-0.012153753,-0.012931164,0.03737706,-0.010497289,-0.0010705417,0.018707296,0.002770168,-0.030758629,-0.009486578,-0.00072737766,0.03393375,0.018375155,0.021956488,0.015477387,0.012405375,0.01570379,0.01308498,0.050178774,-0.014995043,-0.008564281,0.007030892,0.0070849853,-0.018402956,0.0026262344,-0.007493167,0.01117515,-0.015313245,0.02120097,0.02643536,0.0055534267,-0.015632205,-0.008269798,-0.003546766,-0.03326823,-0.0073306514,-0.00013100379,-0.016098754,-0.0052721603,-0.003894417,-0.01448645,0.035849407,-0.011441669,-0.021424038,0.021270307,0.039505757,0.020134296,0.024424568,0.058923725,-0.020180166,0.020479245,0.020113854,-0.005658556,-0.031009175,0.0128196115,-0.017523853,0.01675585,-0.007027624,-0.0193327,-0.02842335,-0.0142794615,-0.019717798,-0.03330309,0.014595077,-0.0057087983,0.013741207,0.021694448,-0.02346186,-0.005939698,-0.014911799,0.012783017,-0.03461122,0.015725235,-0.012106284,0.0053961664,0.020169228,-0.014542926,-0.008468682,0.0010121709,0.020837406,0.011281341,0.0051098457,-0.005376564,-0.016665716,0.015903778,-0.010921156,-0.028069235,0.003954234,-0.0045815976,-0.0016301656
8|0.021279242,-0.036994852,0.03965381,0.029153224,0.008746114,-0.013314948,-0.010778179,0.020115824,-0.011242965,0.022144055,0.06466845,0.0047139437,-0.025937796,-0.012723374,0.03806893,0.012376301,-0.011355726,-0.0074923374,-0.03695017,-0.002446076,0.027166001,0.049342312,-0.0034070225,-0.06617466,-0.03932404,0.004205459,-0.036887713,0.018655062,-0.023061287,-0.020248998,-0.013260628,0.025571665,0.008010102,0.03674616,-0.012056019,-0.0052742464,0.089868605,-0.003549111,0.042062327,-0.008951374,-0.02820466,0.04866436,-0.01455581,-0.00093972374,0.016521493,0.0026896847,-0.035990357,-0.006878513,-0.009671971,0.048947215,0.026295701,0.03371103,0.016397424,0.013055173,0.022163633,0.015766382,0.088297784,-0.029108921,-0.022506531,0.017488688,0.01407074,-0.035853624,0.0070935963,-0.013822274,0.02583999,-0.0347753,0.030926032,0.040128164,0.009826186,-0.022150978,-0.014531507,0.0028974935,-0.05669582,-0.008798773,-0.00018373365,-0.036150925,-0.00096795714,-0.0016109606,-0.03237038,0.049934443,-0.017332159,-0.025868207,0.028145123,0.060006544,0.023848029,0.051080048,0.08918251,-0.027463758,0.024005365,0.04512215,-0.003031108,-0.047022697,0.013457766,-0.030853793,0.031548414,-0.021523383,-0.03713655,-0.05343882,-0.03469406,-0.026615288,-0.04410881,0.008934658,-0.008405663,0.022456802,0.023302823,-0.043761134,-0.017016064,-0.0153125925,0.030212842,-0.051047426,0.018725771,-0.028950633,0.015945006,0.03327506,-0.029433127,-0.0013789678,-0.013045707,0.037831973,0.010076305,-0.0032238853,-0.010174977,-0.028752167,0.026082408,-0.0060301055,-0.040526535,0.013183378,-0.015987027,0.009651376
9|0.016145278,-0.0339479,0.034309693,0.02859138,0.008671207,-0.016872372,-0.008936279,0.02209383,-0.004981686,0.018628683,0.05936886,0.0036573377,-0.02277787,-0.013087518,0.032799076,0.014679663,-0.009415744,-0.0047279205,-0.029121023,0.004690218,0.028567439,0.0450372,-0.004480105,-0.061343126,-0.037994925,0.0046922304,-0.032171205,0.018116554,-0.019008419,-0.017859088,-0.0101027535,0.019056477,0.0038462328,0.035347722,-0.011260293,0.0010332183,0.08118199,-0.0044792816,0.04293505,-0.0116286725,-0.030112473,0.04756219,-0.009276622,-0.0038732435,0.01868777,0.0028210327,-0.030672673,-0.0040494394,-0.009692026,0.042389505,0.022209758,0.028075527,0.015966456,0.0161827,0.023904657,0.01116845,0.077491276,-0.023621159,-0.020997915,0.010450626,0.010662916,-0.034092903,0.0062184148,-0.017822336,0.026867498,-0.027385395,0.0262602,0.03952765,0.010413389,-0.014889867,-0.011399525,-0.0012683894,-0.054123145,-0.0061299074,-0.00041206327,-0.0341215,-0.0024824466,-0.0025659725,-0.026418615,0.048873343,-0.017418087,-0.027067931,0.025178313,0.056808062,0.024016773,0.041700333,0.08269199,-0.027239807,0.02447337,0.0377547,0.0020403669,-0.045490533,0.008716033,-0.027071735,0.033706535,-0.020039653,-0.035042793,-0.048380315,-0.030356416,-0.022247426,-0.046337824,0.0095224185,-0.010525739,0.019115644,0.019964505,-0.0342545,-0.016113538,-0.015494343,0.021458482,-0.04927651,0.016272645,-0.026329678,0.010850061,0.02909755,-0.021142373,-0.00337426,-0.006294073,0.03292208,0.008858892,-0.008571098,-0.013485001,-0.023265453,0.02277384,-0.007775254,-0.03583717,0.008662585,-0.007398818,0.008546223
10|0.012729357,-0.024718419,0.027731536,0.023329666,0.004858382,-0.009512748,-0.005419133,0.013421744,-0.009145916,0.016417535,0.046438646,0.0028252292,-0.016620753,-0.010941478,0.028088724,0.009194382,-0.005701637,-0.003564135,-0.02426731,0.00044071302,0.016746985,0.037548605,-0.004548413,-0.047855258,-0.029209407,0.0015410135,-0.02805709,0.011227236,-0.017235814,-0.014641439,-0.010618955,0.019696692,0.00328554,0.024626976,-0.0063299076,-0.0017533232,0.06582692,-0.0013593491,0.029814864,-0.008147049,-0.018612156,0.03520957,-0.008143409,0.0009891212,0.013965011,0.0042868876,-0.028440354,-0.0066069164,-0.0065044556,0.036527857,0.020512464,0.025496766,0.013883862,0.007896318,0.017511567,0.010120014,0.060147405,-0.01808314,-0.015356851,0.011526701,0.009013486,-0.026297837,0.005980035,-0.008798887,0.017595673,-0.026442727,0.020841246,0.02842092,0.00843742,-0.016322002,-0.010272264,0.0024513018,-0.04226707,-0.0055838567,-0.0004928894,-0.025039045,0.00035762752,-0.0012444156,-0.023538008,0.037699826,-0.01085408,-0.016751109,0.021020407,0.04497461,0.019217828,0.035713598,0.06591252,-0.018544137,0.018648103,0.031483356,-0.0025183104,-0.03460878,0.0073551834,-0.021135004,0.024842903,-0.012858328,-0.026642883,-0.036342025,-0.023648694,-0.01994011,-0.0308162,0.00511998,-0.004061607,0.017151078,0.017355314,-0.029724278,-0.009757303,-0.008740156,0.02099894,-0.038003664,0.015674954,-0.018518407,0.011591304,0.023322664,-0.02224431,-0.002380751,-0.0066932663,0.026030146,0.0054690405,0.0003244346,-0.0051738503,-0.017922541,0.018826688,-0.0067108124,-0.026560761,0.008365147,-0.009603913,0.007963888
