1|0.0042524226,0.0015041567,0.0061730035,0.006140313,-0.0043458054,-0.007266176,-0.00077220425,0.002980603,0.0033172062,0.007711537,0.004049238,-0.003788298,0.0075787315,-0.006827439,-0.0046852333,0.005839519,-0.006569177,-0.0010883166,0.004630517,0.00068158563,0.0056685526,-0.0039787767,0.0016863123,0.0047333995,0.007151286,-0.003922158,-0.005381869,-0.0030729007,0.0037396532,0.0051986864,-0.005285915,-0.0030770656,-0.0026221788,0.0037030075,0.0045105275,-0.007249426,0.0038918229,-0.0018801941,-0.0001766691,-0.0018669479,0.005996703,-0.003333903,0.0011115568,-0.0059836768,-0.0044698464,0.0036138073,0.0070470264,-0.0074840076,0.0022009676,0.0030668918,0.007149468,0.0038586874,-0.0062935883,0.005709663,0.0048517045,-0.00465184,0.0019013276,-0.004204165,0.0070912503,-0.0021103686,0.0028631808,0.0032914719,0.0077962484,0.0047295718,0.004646465,0.005138091,-0.0020089801,0.0033740299,-0.0003882125,-0.0010134038,0.005440384,-0.002228003,-0.0051260944,-0.005372178,0.0030382778,0.0039047142,-0.00529504,-0.0006925808,-0.005521885,-0.0071178963,-0.0068752225,-0.001991001,-0.0047235163,-0.0032764068,0.003793031,-0.005369667,-0.0067230063,0.0068418114,0.0048066583,0.0020484347,-0.0033003027,0.0054616546,-0.0073332516,-0.002757446,0.0022472618,-0.0013887715,0.0045698145,0.0003923485,-0.0061722603,0.006452881,0.0031688018,-0.0005710069,-0.00077812,0.006332134,-0.0045761606,-0.006566748,-0.0013007447,0.0031491704,0.00416435,0.00057291146,0.0010646638,-0.003980642,0.006634783,-0.006780073,0.00074975286,0.0011212546,-0.00015885197,0.0068003424,0.0059230616,0.00084748026,0.0022292314,-0.0001506079,-0.0063241413,-0.00018140115,0.0072330246,-0.002646097,-0.0030011367,-0.0041574426
2|0.00245584,-0.005612774,-0.003177913,0.0059328387,-0.00079036877,0.004754412,-0.0061350865,-0.0019909982,0.005771161,0.0028650574,-0.0036482029,0.0005494356,-0.0030647535,0.0023418376,-0.0029430594,-0.003277991,-0.0024181437,0.006343955,-0.0069624474,0.0006676046,0.00625615,0.0010747975,-0.0042934725,0.004785234,-0.0031784866,0.0070819575,0.0005757995,0.0039691823,-0.007706416,-0.003219748,-0.0021352908,-0.0016873768,-0.0045312084,-0.0067930818,0.0039604306,-0.0049499515,0.004374737,0.0015217457,-0.0020317584,-0.0018105144,0.002592436,-0.00772506,0.006185025,0.002625295,0.0014236076,0.0047076056,-0.0019899122,0.004956425,0.0070380773,-0.0038706083,0.00086462963,-0.0025227088,0.00037952978,-0.006579402,-0.000513101,0.0064124353,-0.0071706893,0.0046528513,-0.006103441,-0.002308634,0.004757642,-0.00440038,-0.00019325875,0.0025677616,0.0024832794,0.0009060586,-0.0065063722,-0.0024568355,-0.005054187,0.0017315447,-0.006697607,0.0024686875,0.0025710193,0.0007693665,-0.006441014,0.0044883313,0.0063244244,-0.0022558197,0.0018225424,0.00309218,0.0019440223,0.0010454413,-0.005370468,-0.0075817043,0.0015420746,-0.007346795,-0.0008373214,0.00024463888,0.0012762481,0.001364436,-0.006644928,-0.007569151,-0.0018231673,-0.0017037895,-0.0004533222,0.0018029092,0.0044575715,0.0039001964,0.0036323853,-0.0078118565,0.0005361531,0.00022863038,-0.0022167685,-0.0012893174,0.00070017483,-0.00036290567,-0.0010538129,0.0006302167,4.86942e-05,-0.0060812933,-0.0038736034,-0.002468911,0.0070410017,-0.0031709736,-0.0002074102,-0.0029435372,-0.005487037,0.0017334791,-0.0019858666,0.0031965887,0.0025614668,0.00214901,0.0061282096,0.0039613126,0.0074516963,-0.0054261507,-0.007707429,-0.0047499724
3|-0.0045740763,0.0007982487,0.005274822,0.005315412,0.004693334,0.0075511057,0.0022023795,-0.0018981928,-0.0035315976,0.0032446012,-0.0052485634,-0.006215105,-0.0030783052,0.00030858442,0.0055012545,0.00045568682,-0.0023389906,-0.0067942496,-0.0006424226,-0.0010520965,0.0030351449,0.0038706474,-0.0015627388,-0.0071637444,-0.004018384,-0.0029964037,-0.0006133616,0.002648957,-0.0026930422,-0.006144626,0.00493782,0.0041459845,-0.0027904157,-0.0002600504,-0.004905305,0.0070916573,-0.0054143844,0.0025862996,-0.005256811,0.00052671507,-0.0064697443,0.006178241,-0.0047971644,0.0008692611,-0.002774164,-0.003220629,0.0037221145,0.0015225569,0.0032192655,-0.004342461,-0.0036425525,-0.0010102997,0.0063781245,-0.001498674,-0.001573002,0.0076770363,0.005244079,0.0005478868,-0.003661218,-0.0033230446,0.004084197,-0.0042623626,0.007525376,0.004843644,0.005871306,0.0021852376,0.0037889406,-0.0075367345,-0.0012700763,-0.0009620227,-0.0033323094,-0.0066209678,0.0005923817,0.0041042734,-0.0014615934,0.00692032,0.0012959,0.0052055903,0.0058762236,-0.004222925,-0.00072155055,-0.004961702,-0.007211374,0.004926297,0.0052544298,0.0075390283,-0.005148545,-0.00709871,-0.003531105,-0.007348352,0.000872639,0.004500692,-0.0018682424,0.0020871265,-0.0045249984,0.0077419113,-0.0040420936,0.0014188103,0.0043752706,6.3922256e-05,0.0015588952,0.0013398407,-0.0041136686,0.004468239,-0.005330744,0.00619753,0.0032131867,0.0060586417,0.0069097728,0.002336083,-0.0024128305,-0.0035050232,7.254351e-05,-0.0058544753,0.0022372268,0.0022246428,-0.003788055,0.0020863581,-0.00078621786,-0.0051253494,-0.0032821866,-0.0007525142,0.0024800003,0.0024819914,-0.006710632,6.690808e-05,-0.0015470246,0.0023943605
4|-0.0045740763,0.0007982487,0.005274822,0.005315412,0.004693334,0.0075511057,0.0022023795,-0.0018981928,-0.0035315976,0.0032446012,-0.0052485634,-0.006215105,-0.0030783052,0.00030858442,0.0055012545,0.00045568682,-0.0023389906,-0.0067942496,-0.0006424226,-0.0010520965,0.0030351449,0.0038706474,-0.0015627388,-0.0071637444,-0.004018384,-0.0029964037,-0.0006133616,0.002648957,-0.0026930422,-0.006144626,0.00493782,0.0041459845,-0.0027904157,-0.0002600504,-0.004905305,0.0070916573,-0.0054143844,0.0025862996,-0.005256811,0.00052671507,-0.0064697443,0.006178241,-0.0047971644,0.0008692611,-0.002774164,-0.003220629,0.0037221145,0.0015225569,0.0032192655,-0.004342461,-0.0036425525,-0.0010102997,0.0063781245,-0.001498674,-0.001573002,0.0076770363,0.005244079,0.0005478868,-0.003661218,-0.0033230446,0.004084197,-0.0042623626,0.007525376,0.004843644,0.005871306,0.0021852376,0.0037889406,-0.0075367345,-0.0012700763,-0.0009620227,-0.0033323094,-0.0066209678,0.0005923817,0.0041042734,-0.0014615934,0.00692032,0.0012959,0.0052055903,0.0058762236,-0.004222925,-0.00072155055,-0.004961702,-0.007211374,0.004926297,0.0052544298,0.0075390283,-0.005148545,-0.00709871,-0.003531105,-0.007348352,0.000872639,0.004500692,-0.0018682424,0.0020871265,-0.0045249984,0.0077419113,-0.0040420936,0.0014188103,0.0043752706,6.3922256e-05,0.0015588952,0.0013398407,-0.0041136686,0.004468239,-0.005330744,0.00619753,0.0032131867,0.0060586417,0.0069097728,0.002336083,-0.0024128305,-0.0035050232,7.254351e-05,-0.0058544753,0.0022372268,0.0022246428,-0.003788055,0.0020863581,-0.00078621786,-0.0051253494,-0.0032821866,-0.0007525142,0.0024800003,0.0024819914,-0.006710632,6.690808e-05,-0.0015470246,0.0023943605
5|-0.0045740763,0.0007982487,0.005274822,0.005315412,0.004693334,0.0075511057,0.0022023795,-0.0018981928,-0.0035315976,0.0032446012,-0.0052485634,-0.006215105,-0.0030783052,0.00030858442,0.0055012545,0.00045568682,-0.0023389906,-0.0067942496,-0.0006424226,-0.0010520965,0.0030351449,0.0038706474,-0.0015627388,-0.0071637444,-0.004018384,-0.0029964037,-0.0006133616,0.002648957,-0.0026930422,-0.006144626,0.00493782,0.0041459845,-0.0027904157,-0.0002600504,-0.004905305,0.0070916573,-0.0054143844,0.0025862996,-0.005256811,0.00052671507,-0.0064697443,0.006178241,-0.0047971644,0.0008692611,-0.002774164,-0.003220629,0.0037221145,0.0015225569,0.0032192655,-0.004342461,-0.0036425525,-0.0010102997,0.0063781245,-0.001498674,-0.001573002,0.0076770363,0.005244079,0.0005478868,-0.003661218,-0.0033230446,0.004084197,-0.0042623626,0.007525376,0.004843644,0.005871306,0.0021852376,0.0037889406,-0.0075367345,-0.0012700763,-0.0009620227,-0.0033323094,-0.0066209678,0.0005923817,0.0041042734,-0.0014615934,0.00692032,0.0012959,0.0052055903,0.0058762236,-0.004222925,-0.00072155055,-0.004961702,-0.007211374,0.004926297,0.0052544298,0.0075390283,-0.005148545,-0.00709871,-0.003531105,-0.007348352,0.000872639,0.004500692,-0.0018682424,0.0020871265,-0.0045249984,0.0077419113,-0.0040420936,0.0014188103,0.0043752706,6.3922256e-05,0.0015588952,0.0013398407,-0.0041136686,0.004468239,-0.005330744,0.00619753,0.0032131867,0.0060586417,0.0069097728,0.002336083,-0.0024128305,-0.0035050232,7.254351e-05,-0.0058544753,0.0022372268,0.0022246428,-0.003788055,0.0020863581,-0.00078621786,-0.0051253494,-0.0032821866,-0.0007525142,0.0024800003,0.0024819914,-0.006710632,6.690808e-05,-0.0015470246,0.0023943605
6|-0.0045740763,0.0007982487,0.005274822,0.005315412,0.004693334,0.0075511057,0.0022023795,-0.0018981928,-0.0035315976,0.0032446012,-0.0052485634,-0.006215105,-0.0030783052,0.00030858442,0.0055012545,0.00045568682,-0.0023389906,-0.0067942496,-0.0006424226,-0.0010520965,0.0030351449,0.0038706474,-0.0015627388,-0.0071637444,-0.004018384,-0.0029964037,-0.0006133616,0.002648957,-0.0026930422,-0.006144626,0.00493782,0.0041459845,-0.0027904157,-0.0002600504,-0.004905305,0.0070916573,-0.0054143844,0.0025862996,-0.005256811,0.00052671507,-0.0064697443,0.006178241,-0.0047971644,0.0008692611,-0.002774164,-0.003220629,0.0037221145,0.0015225569,0.0032192655,-0.004342461,-0.0036425525,-0.0010102997,0.0063781245,-0.001498674,-0.001573002,0.0076770363,0.005244079,0.0005478868,-0.003661218,-0.0033230446,0.004084197,-0.0042623626,0.007525376,0.004843644,0.005871306,0.0021852376,0.0037889406,-0.0075367345,-0.0012700763,-0.0009620227,-0.0033323094,-0.0066209678,0.0005923817,0.0041042734,-0.0014615934,0.00692032,0.0012959,0.0052055903,0.0058762236,-0.004222925,-0.00072155055,-0.004961702,-0.007211374,0.004926297,0.0052544298,0.0075390283,-0.005148545,-0.00709871,-0.003531105,-0.007348352,0.000872639,0.004500692,-0.0018682424,0.0020871265,-0.0045249984,0.0077419113,-0.0040420936,0.0014188103,0.0043752706,6.3922256e-05,0.0015588952,0.0013398407,-0.0041136686,0.004468239,-0.005330744,0.00619753,0.0032131867,0.0060586417,0.0069097728,0.002336083,-0.0024128305,-0.0035050232,7.254351e-05,-0.0058544753,0.0022372268,0.0022246428,-0.003788055,0.0020863581,-0.00078621786,-0.0051253494,-0.0032821866,-0.0007525142,0.0024800003,0.0024819914,-0.006710632,6.690808e-05,-0.0015470246,0.0023943605
7|-0.0045740763,0.0007982487,0.005274822,0.005315412,0.004693334,0.0075511057,0.0022023795,-0.0018981928,-0.0035315976,0.0032446012,-0.0052485634,-0.006215105,-0.0030783052,0.00030858442,0.0055012545,0.00045568682,-0.0023389906,-0.0067942496,-0.0006424226,-0.0010520965,0.0030351449,0.0038706474,-0.0015627388,-0.0071637444,-0.004018384,-0.0029964037,-0.0006133616,0.002648957,-0.0026930422,-0.006144626,0.00493782,0.0041459845,-0.0027904157,-0.0002600504,-0.004905305,0.0070916573,-0.0054143844,0.0025862996,-0.005256811,0.00052671507,-0.0064697443,0.006178241,-0.0047971644,0.0008692611,-0.002774164,-0.003220629,0.0037221145,0.0015225569,0.0032192655,-0.004342461,-0.0036425525,-0.0010102997,0.0063781245,-0.001498674,-0.001573002,0.0076770363,0.005244079,0.0005478868,-0.003661218,-0.0033230446,0.004084197,-0.0042623626,0.007525376,0.004843644,0.005871306,0.0021852376,0.0037889406,-0.0075367345,-0.0012700763,-0.0009620227,-0.0033323094,-0.0066209678,0.0005923817,0.0041042734,-0.0014615934,0.00692032,0.0012959,0.0052055903,0.0058762236,-0.004222925,-0.00072155055,-0.004961702,-0.007211374,0.004926297,0.0052544298,0.0075390283,-0.005148545,-0.00709871,-0.003531105,-0.007348352,0.000872639,0.004500692,-0.0018682424,0.0020871265,-0.0045249984,0.0077419113,-0.0040420936,0.0014188103,0.0043752706,6.3922256e-05,0.0015588952,0.0013398407,-0.0041136686,0.004468239,-0.005330744,0.00619753,0.0032131867,0.0060586417,0.0069097728,0.002336083,-0.0024128305,-0.0035050232,7.254351e-05,-0.0058544753,0.0022372268,0.0022246428,-0.003788055,0.0020863581,-0.00078621786,-0.0051253494,-0.0032821866,-0.0007525142,0.0024800003,0.0024819914,-0.006710632,6.690808e-05,-0.0015470246,0.0023943605
8|-0.0045740763,0.0007982487,0.005274822,0.005315412,0.004693334,0.0075511057,0.0022023795,-0.0018981928,-0.0035315976,0.0032446012,-0.0052485634,-0.006215105,-0.0030783052,0.00030858442,0.0055012545,0.00045568682,-0.0023389906,-0.0067942496,-0.0006424226,-0.0010520965,0.0030351449,0.0038706474,-0.0015627388,-0.0071637444,-0.004018384,-0.0029964037,-0.0006133616,0.002648957,-0.0026930422,-0.006144626,0.00493782,0.0041459845,-0.0027904157,-0.0002600504,-0.004905305,0.0070916573,-0.0054143844,0.0025862996,-0.005256811,0.00052671507,-0.0064697443,0.006178241,-0.0047971644,0.0008692611,-0.002774164,-0.003220629,0.0037221145,0.0015225569,0.0032192655,-0.004342461,-0.0036425525,-0.0010102997,0.0063781245,-0.001498674,-0.001573002,0.0076770363,0.005244079,0.0005478868,-0.003661218,-0.0033230446,0.004084197,-0.0042623626,0.007525376,0.004843644,0.005871306,0.0021852376,0.0037889406,-0.0075367345,-0.0012700763,-0.0009620227,-0.0033323094,-0.0066209678,0.0005923817,0.0041042734,-0.0014615934,0.00692032,0.0012959,0.0052055903,0.0058762236,-0.004222925,-0.00072155055,-0.004961702,-0.007211374,0.004926297,0.0052544298,0.0075390283,-0.005148545,-0.00709871,-0.003531105,-0.007348352,0.000872639,0.004500692,-0.0018682424,0.0020871265,-0.0045249984,0.0077419113,-0.0040420936,0.0014188103,0.0043752706,6.3922256e-05,0.0015588952,0.0013398407,-0.0041136686,0.004468239,-0.005330744,0.00619753,0.0032131867,0.0060586417,0.0069097728,0.002336083,-0.0024128305,-0.0035050232,7.254351e-05,-0.0058544753,0.0022372268,0.0022246428,-0.003788055,0.0020863581,-0.00078621786,-0.0051253494,-0.0032821866,-0.0007525142,0.0024800003,0.0024819914,-0.006710632,6.690808e-05,-0.0015470246,0.0023943605
9|-0.0045740763,0.0007982487,0.005274822,0.005315412,0.004693334,0.0075511057,0.0022023795,-0.0018981928,-0.0035315976,0.0032446012,-0.0052485634,-0.006215105,-0.0030783052,0.00030858442,0.0055012545,0.00045568682,-0.0023389906,-0.0067942496,-0.0006424226,-0.0010520965,0.0030351449,0.0038706474,-0.0015627388,-0.0071637444,-0.004018384,-0.0029964037,-0.0006133616,0.002648957,-0.0026930422,-0.006144626,0.00493782,0.0041459845,-0.0027904157,-0.0002600504,-0.004905305,0.0070916573,-0.0054143844,0.0025862996,-0.005256811,0.00052671507,-0.0064697443,0.006178241,-0.0047971644,0.0008692611,-0.002774164,-0.003220629,0.0037221145,0.0015225569,0.0032192655,-0.004342461,-0.0036425525,-0.0010102997,0.0063781245,-0.001498674,-0.001573002,0.0076770363,0.005244079,0.0005478868,-0.003661218,-0.0033230446,0.004084197,-0.0042623626,0.007525376,0.004843644,0.005871306,0.0021852376,0.0037889406,-0.0075367345,-0.0012700763,-0.0009620227,-0.0033323094,-0.0066209678,0.0005923817,0.0041042734,-0.0014615934,0.00692032,0.0012959,0.0052055903,0.0058762236,-0.004222925,-0.00072155055,-0.004961702,-0.007211374,0.004926297,0.0052544298,0.0075390283,-0.005148545,-0.00709871,-0.003531105,-0.007348352,0.000872639,0.004500692,-0.0018682424,0.0020871265,-0.0045249984,0.0077419113,-0.0040420936,0.0014188103,0.0043752706,6.3922256e-05,0.0015588952,0.0013398407,-0.0041136686,0.004468239,-0.005330744,0.00619753,0.0032131867,0.0060586417,0.0069097728,0.002336083,-0.0024128305,-0.0035050232,7.254351e-05,-0.0058544753,0.0022372268,0.0022246428,-0.003788055,0.0020863581,-0.00078621786,-0.0051253494,-0.0032821866,-0.0007525142,0.0024800003,0.0024819914,-0.006710632,6.690808e-05,-0.0015470246,0.0023943605
10|-0.0045740763,0.0007982487,0.005274822,0.005315412,0.004693334,0.0075511057,0.0022023795,-0.0018981928,-0.0035315976,0.0032446012,-0.0052485634,-0.006215105,-0.0030783052,0.00030858442,0.0055012545,0.00045568682,-0.0023389906,-0.0067942496,-0.0006424226,-0.0010520965,0.0030351449,0.0038706474,-0.0015627388,-0.0071637444,-0.004018384,-0.0029964037,-0.0006133616,0.002648957,-0.0026930422,-0.006144626,0.00493782,0.0041459845,-0.0027904157,-0.0002600504,-0.004905305,0.0070916573,-0.0054143844,0.0025862996,-0.005256811,0.00052671507,-0.0064697443,0.006178241,-0.0047971644,0.0008692611,-0.002774164,-0.003220629,0.0037221145,0.0015225569,0.0032192655,-0.004342461,-0.0036425525,-0.0010102997,0.0063781245,-0.001498674,-0.001573002,0.0076770363,0.005244079,0.0005478868,-0.003661218,-0.0033230446,0.004084197,-0.0042623626,0.007525376,0.004843644,0.005871306,0.0021852376,0.0037889406,-0.0075367345,-0.0012700763,-0.0009620227,-0.0033323094,-0.0066209678,0.0005923817,0.0041042734,-0.0014615934,0.00692032,0.0012959,0.0052055903,0.0058762236,-0.004222925,-0.00072155055,-0.004961702,-0.007211374,0.004926297,0.0052544298,0.0075390283,-0.005148545,-0.00709871,-0.003531105,-0.007348352,0.000872639,0.004500692,-0.0018682424,0.0020871265,-0.0045249984,0.0077419113,-0.0040420936,0.0014188103,0.0043752706,6.3922256e-05,0.0015588952,0.0013398407,-0.0041136686,0.004468239,-0.005330744,0.00619753,0.0032131867,0.0060586417,0.0069097728,0.002336083,-0.0024128305,-0.0035050232,7.254351e-05,-0.0058544753,0.0022372268,0.0022246428,-0.003788055,0.0020863581,-0.00078621786,-0.0051253494,-0.0032821866,-0.0007525142,0.0024800003,0.0024819914,-0.006710632,6.690808e-05,-0.0015470246,0.0023943605
