1|0.0054134103,0.0031881258,-0.0028261887,-0.0040382342,-0.006392018,0.0015686788,0.0045125373,-0.005731322,0.007782112,0.0006109327,-0.0038422504,-0.0014294432,-0.005761223,-0.007765631,-0.003105022,-0.005087288,-0.0043440405,0.0044263713,-0.00577656,0.005402133,-0.0039673224,-0.0077309264,-0.0059856605,0.0068778098,0.002428607,-0.0030820835,-0.007375475,-0.004003587,0.0031123217,0.007064862,-0.0039067045,-0.0018860577,-0.0063099507,0.0069306055,0.006102138,0.0061104093,0.007482539,-0.0045550065,-0.0028952034,0.004142399,-0.0064850794,-0.0052307183,0.0056266794,-0.0059778094,-0.0056224884,-0.0071869167,0.003496414,0.0017168261,-0.0071625104,-0.0010065762,0.0067491056,0.003111451,-0.0046350425,0.0076551987,-0.0073833475,0.0023746928,-0.0033188323,-0.003773217,0.0029323865,-0.0067625633,-0.007254416,-0.005271065,-0.003132565,-0.0047989925,-0.0036225365,-0.0014800085,-0.0014384361,-0.006241138,0.0040404517,-0.0014705416,0.0040202485,0.00090722274,-0.0036570877,-0.0049122153,-0.00081353914,-0.0018747998,0.001193773,0.0048668077,-0.005923914,0.0013458217,-0.00665693,-0.0018867627,0.0041482802,0.005010397,0.00093351677,0.0051510492,-0.006956365,-0.0036738226,-0.0062399562,-0.004295891,-0.00055766944,-0.006362521,0.0044591855,-0.0077671874,-0.00075151306,0.0051575387,0.004463652,0.007658786,0.000252679,0.0034086118,0.0045090187,-8.1751496e-05,0.00048753247,0.0068167103,-0.004148977,0.0045297137,0.00020028371,0.0002929354,-0.004058919,0.001237344,0.00084092095,-0.0014481386,-0.0053771697,-0.0062419586,-0.004703465,-0.0030580303,-0.0024072314,0.0046244534,-0.007049082,-0.004041953,0.0070042303,0.006759966,-0.0062170494,0.0018007373,0.005921756,0.0063968934,0.0042344164,-0.0021612998
2|0.004324427,-0.0033007683,-0.005864676,-0.002694564,0.003014749,-0.0005982751,0.0018610312,0.0013511796,-0.0011825832,-0.00017788075,-0.0071208207,8.853711e-05,-0.0060792705,-0.004383022,-0.0048396485,-0.0018737698,0.004199883,0.004570598,0.0019090232,0.007747921,-0.0031097122,-0.0016241996,-0.0044323327,0.0012008483,0.0031553572,-0.0016941587,0.00019984972,-0.0026557855,-0.00689896,0.0045696497,-0.004328372,0.0019690944,-0.0016611367,0.007202817,-0.005358679,0.0019274289,-0.0050819814,-0.0031394353,-0.0018713148,0.006340103,0.0033374708,0.0074509894,0.000691195,0.0022413507,0.00027556345,-0.001111228,0.0075874887,0.007399597,-0.0028846208,0.0037223129,-0.0033212071,0.00036251545,-0.0033363756,0.0076762624,0.006386568,-0.007226565,0.00078390166,-0.00066069793,-0.0029970966,0.0049454635,-0.00089479703,0.0061532212,0.0016364967,0.00077096093,0.0050792936,-0.00404757,0.006995188,-0.0061699636,-0.0009744875,0.0011734003,-0.0062009906,-0.0041582724,-0.007549038,0.0067783445,0.0030029705,0.0037961183,-0.0045904703,-0.00069583673,-0.0014252802,0.0056607295,0.0035975594,0.006334057,-0.0069953445,0.005520312,0.003065844,-0.00392399,-0.0043210797,0.003948353,0.0077611906,0.000991459,0.0035842052,0.00015356205,-0.0049090916,0.0065271873,-0.00048052613,0.0032788701,0.0063726204,-0.004905141,0.0010904782,-0.000110137276,-0.0035523735,-0.0029906025,0.0051510576,0.0036289124,-0.0076010125,0.0074211145,0.0072659785,0.0022275625,-0.00710875,-0.005870023,0.0035791192,-0.0032196362,0.0026717437,-0.0032971054,-0.0057996586,0.0037495904,-0.0057520736,-0.007051357,0.0006176997,0.007679713,0.0029448401,0.0031465888,0.0042469837,-0.001365508,0.004167595,-0.0035569714,-0.003707474,-0.005665779
3|-0.0070421724,-0.000121297315,-6.0429797e-05,0.006680007,-0.0061687836,-0.0021661157,-0.0031283312,-0.0045883954,-0.00015137251,0.007759832,0.005950731,0.0026138471,0.005143458,-0.006653796,-0.002086592,0.005957014,0.006900659,0.0034390548,0.0037374115,-0.0075635193,0.00082227215,-9.380281e-06,-0.0072887065,0.007810246,-0.003286126,-0.0014401143,-0.0069060205,0.0069855545,-0.001424293,-0.0009598546,0.00050756335,0.004727492,0.0068646166,0.0056931423,-0.0052112155,0.0013461402,-0.0010181982,0.00021152198,-0.0030477261,0.0043533426,-0.0048382375,-0.002665462,-0.003163686,-0.00030746032,0.003408444,-0.0007054247,0.0068296418,0.005520028,7.734168e-05,0.006586996,0.0052155657,-0.005048424,-0.005159987,0.005535177,-0.0012537036,-0.0023623258,0.0022447081,-0.0009803027,-0.002389526,-0.006950847,-0.002069611,0.0036227005,0.005658159,0.0009261435,0.006262174,-0.0022480395,-0.00091362745,-0.0010528043,-0.0025467984,0.006394947,-0.0030893432,-0.0047479654,0.0019812072,-0.00078278035,3.1979755e-05,0.0004145708,0.0056865932,0.005557077,-0.004944058,0.006745224,0.00011419598,-0.003771169,0.0069029666,-0.0065667005,0.002226267,-0.0050576273,-0.0030960375,-0.0069141565,0.005232877,-0.0020425674,-0.00010906812,-0.0040431246,-0.004440857,-0.0078100264,-0.005234193,0.005565488,0.0024483614,0.0058923494,0.0076744184,-0.0054887887,0.0020305412,-0.0038034162,-0.0053343987,0.0075124595,-0.0055348855,0.0043427926,0.0023759352,0.00047706347,-0.005480827,-0.0025925906,0.0047404934,0.0008402113,0.0003223149,0.0039871763,-0.0055228546,-0.0060254987,-0.0042098714,-0.005979277,0.0043414636,-0.006703656,0.00047963858,-0.0038694125,-0.003586688,0.0063403863,0.00552777,-0.006868656,-0.0013170727,0.0011082683
4|-0.0070421724,-0.000121297315,-6.0429797e-05,0.006680007,-0.0061687836,-0.0021661157,-0.0031283312,-0.0045883954,-0.00015137251,0.007759832,0.005950731,0.0026138471,0.005143458,-0.006653796,-0.002086592,0.005957014,0.006900659,0.0034390548,0.0037374115,-0.0075635193,0.00082227215,-9.380281e-06,-0.0072887065,0.007810246,-0.003286126,-0.0014401143,-0.0069060205,0.0069855545,-0.001424293,-0.0009598546,0.00050756335,0.004727492,0.0068646166,0.0056931423,-0.0052112155,0.0013461402,-0.0010181982,0.00021152198,-0.0030477261,0.0043533426,-0.0048382375,-0.002665462,-0.003163686,-0.00030746032,0.003408444,-0.0007054247,0.0068296418,0.005520028,7.734168e-05,0.006586996,0.0052155657,-0.005048424,-0.005159987,0.005535177,-0.0012537036,-0.0023623258,0.0022447081,-0.0009803027,-0.002389526,-0.006950847,-0.002069611,0.0036227005,0.005658159,0.0009261435,0.006262174,-0.0022480395,-0.00091362745,-0.0010528043,-0.0025467984,0.006394947,-0.0030893432,-0.0047479654,0.0019812072,-0.00078278035,3.1979755e-05,0.0004145708,0.0056865932,0.005557077,-0.004944058,0.006745224,0.00011419598,-0.003771169,0.0069029666,-0.0065667005,0.002226267,-0.0050576273,-0.0030960375,-0.0069141565,0.005232877,-0.0020425674,-0.00010906812,-0.0040431246,-0.004440857,-0.0078100264,-0.005234193,0.005565488,0.0024483614,0.0058923494,0.0076744184,-0.0054887887,0.0020305412,-0.0038034162,-0.0053343987,0.0075124595,-0.0055348855,0.0043427926,0.0023759352,0.00047706347,-0.005480827,-0.0025925906,0.0047404934,0.0008402113,0.0003223149,0.0039871763,-0.0055228546,-0.0060254987,-0.0042098714,-0.005979277,0.0043414636,-0.006703656,0.00047963858,-0.0038694125,-0.003586688,0.0063403863,0.00552777,-0.006868656,-0.0013170727,0.0011082683
5|-0.0070421724,-0.000121297315,-6.0429797e-05,0.006680007,-0.0061687836,-0.0021661157,-0.0031283312,-0.0045883954,-0.00015137251,0.007759832,0.005950731,0.0026138471,0.005143458,-0.006653796,-0.002086592,0.005957014,0.006900659,0.0034390548,0.0037374115,-0.0075635193,0.00082227215,-9.380281e-06,-0.0072887065,0.007810246,-0.003286126,-0.0014401143,-0.0069060205,0.0069855545,-0.001424293,-0.0009598546,0.00050756335,0.004727492,0.0068646166,0.0056931423,-0.0052112155,0.0013461402,-0.0010181982,0.00021152198,-0.0030477261,0.0043533426,-0.0048382375,-0.002665462,-0.003163686,-0.00030746032,0.003408444,-0.0007054247,0.0068296418,0.005520028,7.734168e-05,0.006586996,0.0052155657,-0.005048424,-0.005159987,0.005535177,-0.0012537036,-0.0023623258,0.0022447081,-0.0009803027,-0.002389526,-0.006950847,-0.002069611,0.0036227005,0.005658159,0.0009261435,0.006262174,-0.0022480395,-0.00091362745,-0.0010528043,-0.0025467984,0.006394947,-0.0030893432,-0.0047479654,0.0019812072,-0.00078278035,3.1979755e-05,0.0004145708,0.0056865932,0.005557077,-0.004944058,0.006745224,0.00011419598,-0.003771169,0.0069029666,-0.0065667005,0.002226267,-0.0050576273,-0.0030960375,-0.0069141565,0.005232877,-0.0020425674,-0.00010906812,-0.0040431246,-0.004440857,-0.0078100264,-0.005234193,0.005565488,0.0024483614,0.0058923494,0.0076744184,-0.0054887887,0.0020305412,-0.0038034162,-0.0053343987,0.0075124595,-0.0055348855,0.0043427926,0.0023759352,0.00047706347,-0.005480827,-0.0025925906,0.0047404934,0.0008402113,0.0003223149,0.0039871763,-0.0055228546,-0.0060254987,-0.0042098714,-0.005979277,0.0043414636,-0.006703656,0.00047963858,-0.0038694125,-0.003586688,0.0063403863,0.00552777,-0.006868656,-0.0013170727,0.0011082683
6|-0.0070421724,-0.000121297315,-6.0429797e-05,0.006680007,-0.0061687836,-0.0021661157,-0.0031283312,-0.0045883954,-0.00015137251,0.007759832,0.005950731,0.0026138471,0.005143458,-0.006653796,-0.002086592,0.005957014,0.006900659,0.0034390548,0.0037374115,-0.0075635193,0.00082227215,-9.380281e-06,-0.0072887065,0.007810246,-0.003286126,-0.0014401143,-0.0069060205,0.0069855545,-0.001424293,-0.0009598546,0.00050756335,0.004727492,0.0068646166,0.0056931423,-0.0052112155,0.0013461402,-0.0010181982,0.00021152198,-0.0030477261,0.0043533426,-0.0048382375,-0.002665462,-0.003163686,-0.00030746032,0.003408444,-0.0007054247,0.0068296418,0.005520028,7.734168e-05,0.006586996,0.0052155657,-0.005048424,-0.005159987,0.005535177,-0.0012537036,-0.0023623258,0.0022447081,-0.0009803027,-0.002389526,-0.006950847,-0.002069611,0.0036227005,0.005658159,0.0009261435,0.006262174,-0.0022480395,-0.00091362745,-0.0010528043,-0.0025467984,0.006394947,-0.0030893432,-0.0047479654,0.0019812072,-0.00078278035,3.1979755e-05,0.0004145708,0.0056865932,0.005557077,-0.004944058,0.006745224,0.00011419598,-0.003771169,0.0069029666,-0.0065667005,0.002226267,-0.0050576273,-0.0030960375,-0.0069141565,0.005232877,-0.0020425674,-0.00010906812,-0.0040431246,-0.004440857,-0.0078100264,-0.005234193,0.005565488,0.0024483614,0.0058923494,0.0076744184,-0.0054887887,0.0020305412,-0.0038034162,-0.0053343987,0.0075124595,-0.0055348855,0.0043427926,0.0023759352,0.00047706347,-0.005480827,-0.0025925906,0.0047404934,0.0008402113,0.0003223149,0.0039871763,-0.0055228546,-0.0060254987,-0.0042098714,-0.005979277,0.0043414636,-0.006703656,0.00047963858,-0.0038694125,-0.003586688,0.0063403863,0.00552777,-0.006868656,-0.0013170727,0.0011082683
7|-0.0070421724,-0.000121297315,-6.0429797e-05,0.006680007,-0.0061687836,-0.0021661157,-0.0031283312,-0.0045883954,-0.00015137251,0.007759832,0.005950731,0.0026138471,0.005143458,-0.006653796,-0.002086592,0.005957014,0.006900659,0.0034390548,0.0037374115,-0.0075635193,0.00082227215,-9.380281e-06,-0.0072887065,0.007810246,-0.003286126,-0.0014401143,-0.0069060205,0.0069855545,-0.001424293,-0.0009598546,0.00050756335,0.004727492,0.0068646166,0.0056931423,-0.0052112155,0.0013461402,-0.0010181982,0.00021152198,-0.0030477261,0.0043533426,-0.0048382375,-0.002665462,-0.003163686,-0.00030746032,0.003408444,-0.0007054247,0.0068296418,0.005520028,7.734168e-05,0.006586996,0.0052155657,-0.005048424,-0.005159987,0.005535177,-0.0012537036,-0.0023623258,0.0022447081,-0.0009803027,-0.002389526,-0.006950847,-0.002069611,0.0036227005,0.005658159,0.0009261435,0.006262174,-0.0022480395,-0.00091362745,-0.0010528043,-0.0025467984,0.006394947,-0.0030893432,-0.0047479654,0.0019812072,-0.00078278035,3.1979755e-05,0.0004145708,0.0056865932,0.005557077,-0.004944058,0.006745224,0.00011419598,-0.003771169,0.0069029666,-0.0065667005,0.002226267,-0.0050576273,-0.0030960375,-0.0069141565,0.005232877,-0.0020425674,-0.00010906812,-0.0040431246,-0.004440857,-0.0078100264,-0.005234193,0.005565488,0.0024483614,0.0058923494,0.0076744184,-0.0054887887,0.0020305412,-0.0038034162,-0.0053343987,0.0075124595,-0.0055348855,0.0043427926,0.0023759352,0.00047706347,-0.005480827,-0.0025925906,0.0047404934,0.0008402113,0.0003223149,0.0039871763,-0.0055228546,-0.0060254987,-0.0042098714,-0.005979277,0.0043414636,-0.006703656,0.00047963858,-0.0038694125,-0.003586688,0.0063403863,0.00552777,-0.006868656,-0.0013170727,0.0011082683
8|-0.0070421724,-0.000121297315,-6.0429797e-05,0.006680007,-0.0061687836,-0.0021661157,-0.0031283312,-0.0045883954,-0.00015137251,0.007759832,0.005950731,0.0026138471,0.005143458,-0.006653796,-0.002086592,0.005957014,0.006900659,0.0034390548,0.0037374115,-0.0075635193,0.00082227215,-9.380281e-06,-0.0072887065,0.007810246,-0.003286126,-0.0014401143,-0.0069060205,0.0069855545,-0.001424293,-0.0009598546,0.00050756335,0.004727492,0.0068646166,0.0056931423,-0.0052112155,0.0013461402,-0.0010181982,0.00021152198,-0.0030477261,0.0043533426,-0.0048382375,-0.002665462,-0.003163686,-0.00030746032,0.003408444,-0.0007054247,0.0068296418,0.005520028,7.734168e-05,0.006586996,0.0052155657,-0.005048424,-0.005159987,0.005535177,-0.0012537036,-0.0023623258,0.0022447081,-0.0009803027,-0.002389526,-0.006950847,-0.002069611,0.0036227005,0.005658159,0.0009261435,0.006262174,-0.0022480395,-0.00091362745,-0.0010528043,-0.0025467984,0.006394947,-0.0030893432,-0.0047479654,0.0019812072,-0.00078278035,3.1979755e-05,0.0004145708,0.0056865932,0.005557077,-0.004944058,0.006745224,0.00011419598,-0.003771169,0.0069029666,-0.0065667005,0.002226267,-0.0050576273,-0.0030960375,-0.0069141565,0.005232877,-0.0020425674,-0.00010906812,-0.0040431246,-0.004440857,-0.0078100264,-0.005234193,0.005565488,0.0024483614,0.0058923494,0.0076744184,-0.0054887887,0.0020305412,-0.0038034162,-0.0053343987,0.0075124595,-0.0055348855,0.0043427926,0.0023759352,0.00047706347,-0.005480827,-0.0025925906,0.0047404934,0.0008402113,0.0003223149,0.0039871763,-0.0055228546,-0.0060254987,-0.0042098714,-0.005979277,0.0043414636,-0.006703656,0.00047963858,-0.0038694125,-0.003586688,0.0063403863,0.00552777,-0.006868656,-0.0013170727,0.0011082683
9|-0.0070421724,-0.000121297315,-6.0429797e-05,0.006680007,-0.0061687836,-0.0021661157,-0.0031283312,-0.0045883954,-0.00015137251,0.007759832,0.005950731,0.0026138471,0.005143458,-0.006653796,-0.002086592,0.005957014,0.006900659,0.0034390548,0.0037374115,-0.0075635193,0.00082227215,-9.380281e-06,-0.0072887065,0.007810246,-0.003286126,-0.0014401143,-0.0069060205,0.0069855545,-0.001424293,-0.0009598546,0.00050756335,0.004727492,0.0068646166,0.0056931423,-0.0052112155,0.0013461402,-0.0010181982,0.00021152198,-0.0030477261,0.0043533426,-0.0048382375,-0.002665462,-0.003163686,-0.00030746032,0.003408444,-0.0007054247,0.0068296418,0.005520028,7.734168e-05,0.006586996,0.0052155657,-0.005048424,-0.005159987,0.005535177,-0.0012537036,-0.0023623258,0.0022447081,-0.0009803027,-0.002389526,-0.006950847,-0.002069611,0.0036227005,0.005658159,0.0009261435,0.006262174,-0.0022480395,-0.00091362745,-0.0010528043,-0.0025467984,0.006394947,-0.0030893432,-0.0047479654,0.0019812072,-0.00078278035,3.1979755e-05,0.0004145708,0.0056865932,0.005557077,-0.004944058,0.006745224,0.00011419598,-0.003771169,0.0069029666,-0.0065667005,0.002226267,-0.0050576273,-0.0030960375,-0.0069141565,0.005232877,-0.0020425674,-0.00010906812,-0.0040431246,-0.004440857,-0.0078100264,-0.005234193,0.005565488,0.0024483614,0.0058923494,0.0076744184,-0.0054887887,0.0020305412,-0.0038034162,-0.0053343987,0.0075124595,-0.0055348855,0.0043427926,0.0023759352,0.00047706347,-0.005480827,-0.0025925906,0.0047404934,0.0008402113,0.0003223149,0.0039871763,-0.0055228546,-0.0060254987,-0.0042098714,-0.005979277,0.0043414636,-0.006703656,0.00047963858,-0.0038694125,-0.003586688,0.0063403863,0.00552777,-0.006868656,-0.0013170727,0.0011082683
10|-0.0070421724,-0.000121297315,-6.0429797e-05,0.006680007,-0.0061687836,-0.0021661157,-0.0031283312,-0.0045883954,-0.00015137251,0.007759832,0.005950731,0.0026138471,0.005143458,-0.006653796,-0.002086592,0.005957014,0.006900659,0.0034390548,0.0037374115,-0.0075635193,0.00082227215,-9.380281e-06,-0.0072887065,0.007810246,-0.003286126,-0.0014401143,-0.0069060205,0.0069855545,-0.001424293,-0.0009598546,0.00050756335,0.004727492,0.0068646166,0.0056931423,-0.0052112155,0.0013461402,-0.0010181982,0.00021152198,-0.0030477261,0.0043533426,-0.0048382375,-0.002665462,-0.003163686,-0.00030746032,0.003408444,-0.0007054247,0.0068296418,0.005520028,7.734168e-05,0.006586996,0.0052155657,-0.005048424,-0.005159987,0.005535177,-0.0012537036,-0.0023623258,0.0022447081,-0.0009803027,-0.002389526,-0.006950847,-0.002069611,0.0036227005,0.005658159,0.0009261435,0.006262174,-0.0022480395,-0.00091362745,-0.0010528043,-0.0025467984,0.006394947,-0.0030893432,-0.0047479654,0.0019812072,-0.00078278035,3.1979755e-05,0.0004145708,0.0056865932,0.005557077,-0.004944058,0.006745224,0.00011419598,-0.003771169,0.0069029666,-0.0065667005,0.002226267,-0.0050576273,-0.0030960375,-0.0069141565,0.005232877,-0.0020425674,-0.00010906812,-0.0040431246,-0.004440857,-0.0078100264,-0.005234193,0.005565488,0.0024483614,0.0058923494,0.0076744184,-0.0054887887,0.0020305412,-0.0038034162,-0.0053343987,0.0075124595,-0.0055348855,0.0043427926,0.0023759352,0.00047706347,-0.005480827,-0.0025925906,0.0047404934,0.0008402113,0.0003223149,0.0039871763,-0.0055228546,-0.0060254987,-0.0042098714,-0.005979277,0.0043414636,-0.006703656,0.00047963858,-0.0038694125,-0.003586688,0.0063403863,0.00552777,-0.006868656,-0.0013170727,0.0011082683
